Record_ID,Camera_Node,Location_Name,GPS_Latitude,GPS_Longitude,Timestamp_IST,Vehicle_Classification,Detected_Make,Detected_Model,License_Plate,ANPR_Confidence_Pct,Vehicle_Color,Sharpness_Index,Sec65B_Integrity_Hash
560,CAM-016,Visat T Junction P2 RLVD,23.0984,72.5841,2026-09-02 21:21:54.574460,Car,Unknown,Vehicle,UNREADABLE-CAM-016-18025,48.3%,Blue,808.8,SHA256:8537C17682B28878
561,CAM-016,Visat T Junction P2 RLVD,23.0984,72.5841,2026-09-02 21:21:54.575945,Car,Unknown,Vehicle,UNREADABLE-CAM-016-63427,48.2%,Blue,529.9,SHA256:8B00D7BEC21FD71A
586,CAM-016,Visat T Junction P2 RLVD,23.0984,72.5841,2026-09-02 21:22:53.314008,Car,Unknown,Vehicle,UNREADABLE-CAM-016-21825,51.6%,White,286.2,SHA256:13C90FD0DE4BBA4E
587,CAM-016,Visat T Junction P2 RLVD,23.0984,72.5841,2026-09-02 21:22:53.316347,Motorcycle,Unknown,Vehicle,UNREADABLE-CAM-016-93557,40.2%,Silver/Grey,243.9,SHA256:9C964769FB779446
588,CAM-016,Visat T Junction P2 RLVD,23.0984,72.5841,2026-09-02 21:22:53.320139,Car,Unknown,Vehicle,UNREADABLE-CAM-016-63095,46.8%,Blue,610.5,SHA256:6352F837F0DDB65E
615,CAM-016,Visat T Junction P2 RLVD,23.0984,72.5841,2026-09-02 21:23:53.484362,Car,Unknown,Vehicle,UNREADABLE-CAM-016-14213,51.4%,White,333.5,SHA256:7CC9FFDFAACC0844
616,CAM-016,Visat T Junction P2 RLVD,23.0984,72.5841,2026-09-02 21:23:53.487183,Motorcycle,Unknown,Vehicle,UNREADABLE-CAM-016-80657,44.7%,Blue,233.1,SHA256:E16D43F46823F9D5
617,CAM-016,Visat T Junction P2 RLVD,23.0984,72.5841,2026-09-02 21:23:53.490559,Car,Unknown,Vehicle,UNREADABLE-CAM-016-72382,39.4%,Silver/Grey,105.3,SHA256:23ED04B6482DA7CA
618,CAM-016,Visat T Junction P2 RLVD,23.0984,72.5841,2026-09-02 21:23:53.491697,Car,Unknown,Vehicle,UNREADABLE-CAM-016-97277,43.8%,Blue,264.1,SHA256:54E1E274415E97BD
640,CAM-016,Visat T Junction P2 RLVD,23.0984,72.5841,2026-09-02 21:24:53.497115,Motorcycle,Unknown,Vehicle,UNREADABLE-CAM-016-10715,37.9%,Blue,271.4,SHA256:8967204DBC9CA45D
641,CAM-016,Visat T Junction P2 RLVD,23.0984,72.5841,2026-09-02 21:24:53.502293,Car,Unknown,Vehicle,UNREADABLE-CAM-016-76705,42.1%,Blue,211.2,SHA256:8DDB10B7033B4160
675,CAM-016,Visat T Junction P2 RLVD,23.0984,72.5841,2026-09-02 21:25:54.999673,Car,Unknown,Vehicle,UNREADABLE-CAM-016-99683,49.3%,Blue,1202.9,SHA256:2146AD64043AB1F5
676,CAM-016,Visat T Junction P2 RLVD,23.0984,72.5841,2026-09-02 21:25:55.002175,Motorcycle,Unknown,Vehicle,UNREADABLE-CAM-016-42088,41.0%,Blue,236.2,SHA256:F5B9DFB78162E9AB
677,CAM-016,Visat T Junction P2 RLVD,23.0984,72.5841,2026-09-02 21:25:55.006175,Truck,Unknown,Vehicle,UNREADABLE-CAM-016-84204,45.7%,Blue,686.4,SHA256:1988F95E48A186A7
707,CAM-016,Visat T Junction P2 RLVD,23.0984,72.5841,2026-09-02 21:26:56.400784,Car,Unknown,Vehicle,UNREADABLE-CAM-016-96598,50.3%,White,695.2,SHA256:B904915CAB2BD16B
708,CAM-016,Visat T Junction P2 RLVD,23.0984,72.5841,2026-09-02 21:26:56.404859,Car,Unknown,Vehicle,UNREADABLE-CAM-016-14256,47.2%,Blue,957.0,SHA256:8AA8A96E448ABBC7
709,CAM-016,Visat T Junction P2 RLVD,23.0984,72.5841,2026-09-02 21:26:56.406496,Motorcycle,Unknown,Vehicle,UNREADABLE-CAM-016-52395,37.4%,Blue,157.4,SHA256:DC140DF13397E8A5
743,CAM-016,Visat T Junction P2 RLVD,23.0984,72.5841,2026-09-02 21:27:57.456339,Car,Unknown,Vehicle,UNREADABLE-CAM-016-38608,51.3%,White,605.9,SHA256:1D5E3E08995BAC26
744,CAM-016,Visat T Junction P2 RLVD,23.0984,72.5841,2026-09-02 21:27:57.460853,Car,Unknown,Vehicle,UNREADABLE-CAM-016-23983,47.2%,Blue,266.7,SHA256:3E8042EF8439A015
745,CAM-016,Visat T Junction P2 RLVD,23.0984,72.5841,2026-09-02 21:27:57.462866,Motorcycle,Unknown,Vehicle,UNREADABLE-CAM-016-88828,40.8%,Blue,219.1,SHA256:A6284BF0253D926E
776,CAM-016,Visat T Junction P2 RLVD,23.0984,72.5841,2026-09-02 21:28:58.321406,Car,Unknown,Vehicle,UNREADABLE-CAM-016-17009,52.9%,White,599.6,SHA256:FBA7FC603601768D
777,CAM-016,Visat T Junction P2 RLVD,23.0984,72.5841,2026-09-02 21:28:58.324991,Motorcycle,Unknown,Vehicle,UNREADABLE-CAM-016-82506,41.5%,Blue,265.6,SHA256:C1120DFD69A8BA61
796,CAM-016,Visat T Junction P2 RLVD,23.0984,72.5841,2026-09-02 21:29:58.389683,Car,Unknown,Vehicle,UNREADABLE-CAM-016-64018,52.6%,White,612.2,SHA256:4779A3D71038E25C
797,CAM-016,Visat T Junction P2 RLVD,23.0984,72.5841,2026-09-02 21:29:58.393643,Motorcycle,Unknown,Vehicle,UNREADABLE-CAM-016-44853,36.4%,Blue,215.4,SHA256:1746388F12295CBA
815,CAM-016,Visat T Junction P2 RLVD,23.0984,72.5841,2026-09-02 21:30:58.033146,Car,Unknown,Vehicle,UNREADABLE-CAM-016-35981,51.5%,White,513.5,SHA256:521314A10C1B32A9
816,CAM-016,Visat T Junction P2 RLVD,23.0984,72.5841,2026-09-02 21:30:58.036518,Motorcycle,Unknown,Vehicle,UNREADABLE-CAM-016-11860,40.5%,Blue,237.5,SHA256:FBF4A07F0595DDD0
834,CAM-016,Visat T Junction P2 RLVD,23.0984,72.5841,2026-09-02 21:31:57.203853,Car,Unknown,Vehicle,UNREADABLE-CAM-016-69484,50.3%,White,590.9,SHA256:E4438F2FD0ECDB57
844,CAM-016,Visat T Junction P2 RLVD,23.0984,72.5841,2026-09-02 21:32:53.651213,Car,Unknown,Vehicle,UNREADABLE-CAM-016-38573,50.6%,White,644.7,SHA256:7E09261C2587834C
852,CAM-016,Visat T Junction P2 RLVD,23.0984,72.5841,2026-09-02 21:33:50.764237,Motorcycle,Unknown,Vehicle,UNREADABLE-CAM-016-47603,39.3%,Blue,225.7,SHA256:65BFDA627DFD865A
862,CAM-016,Visat T Junction P2 RLVD,23.0984,72.5841,2026-09-02 21:34:49.719556,Motorcycle,Unknown,Vehicle,UNREADABLE-CAM-016-88918,36.8%,Blue,229.4,SHA256:565155EFB4128BA2
872,CAM-016,Visat T Junction P2 RLVD,23.0984,72.5841,2026-09-02 21:35:48.408986,Motorcycle,Unknown,Vehicle,UNREADABLE-CAM-016-65167,39.2%,Blue,200.4,SHA256:E2EEB00249936A0C
883,CAM-016,Visat T Junction P2 RLVD,23.0984,72.5841,2026-09-02 21:36:47.268955,Motorcycle,Unknown,Vehicle,UNREADABLE-CAM-016-54276,37.0%,Silver/Grey,192.1,SHA256:8F0757D008E197CA
930,CAM-016,Visat T Junction P2 RLVD,23.0984,72.5841,2026-09-02 21:39:40.259177,Car,Unknown,Vehicle,UNREADABLE-CAM-016-12821,49.0%,Silver/Grey,567.1,SHA256:026CD0C2BA659BD4
931,CAM-016,Visat T Junction P2 RLVD,23.0984,72.5841,2026-09-02 21:39:40.260850,Car,Unknown,Vehicle,UNREADABLE-CAM-016-62433,46.8%,Silver/Grey,503.0,SHA256:5DBFB303CA8DCAC5
989,CAM-016,Visat T Junction P2 RLVD,23.0984,72.5841,2026-09-02 21:46:16.187531,Car,Unknown,Vehicle,UNREADABLE-CAM-016-24541,38.1%,White,133.3,SHA256:E022FC7177FCED70
990,CAM-016,Visat T Junction P2 RLVD,23.0984,72.5841,2026-09-02 21:46:16.189668,Motorcycle,Unknown,Vehicle,UNREADABLE-CAM-016-70587,34.8%,Green,53.7,SHA256:A49AFBE7643C2612
1022,CAM-016,Visat T Junction P2 RLVD,23.0984,72.5841,2026-09-02 21:48:14.996408,Car,Unknown,Vehicle,UNREADABLE-CAM-016-55463,49.8%,Silver/Grey,854.9,SHA256:D9CE2E72ACDFBE1C
1038,CAM-016,Visat T Junction P2 RLVD,23.0984,72.5841,2026-09-02 21:49:11.147993,Car,Unknown,Vehicle,UNREADABLE-CAM-016-61302,46.4%,Silver/Grey,580.1,SHA256:2BFEABBBD1C7BD1C
1056,CAM-016,Visat T Junction P2 RLVD,23.0984,72.5841,2026-09-02 21:50:07.393182,Car,Unknown,Vehicle,UNREADABLE-CAM-016-21084,46.2%,Silver/Grey,458.6,SHA256:FBA30D38086AB2A2
1057,CAM-016,Visat T Junction P2 RLVD,23.0984,72.5841,2026-09-02 21:50:07.395404,Car,Unknown,Vehicle,UNREADABLE-CAM-016-86103,44.7%,Silver/Grey,557.3,SHA256:868CACE505A51C7D
1070,CAM-016,Visat T Junction P2 RLVD,23.0984,72.5841,2026-09-02 21:51:03.208325,Car,Unknown,Vehicle,UNREADABLE-CAM-016-20411,47.9%,Silver/Grey,508.5,SHA256:F78CCC17AC37EEFA
1084,CAM-016,Visat T Junction P2 RLVD,23.0984,72.5841,2026-09-02 21:52:54.402450,Car,Unknown,Vehicle,UNREADABLE-CAM-016-44588,48.3%,White,613.3,SHA256:D0EA6CBC7631C4AF
1102,CAM-016,Visat T Junction P2 RLVD,23.0984,72.5841,2026-09-02 21:53:52.568351,Car,Unknown,Vehicle,UNREADABLE-CAM-016-74967,44.8%,White,740.4,SHA256:5945AB4230F09E79
1107,CAM-016,Visat T Junction P2 RLVD,23.0984,72.5841,2026-09-02 21:54:52.924381,Motorcycle,Unknown,Vehicle,UNREADABLE-CAM-016-40314,38.2%,Blue,128.9,SHA256:377A5585A67C03BA
1123,CAM-016,Visat T Junction P2 RLVD,23.0984,72.5841,2026-09-02 21:57:46.130624,Truck,Unknown,Vehicle,UNREADABLE-CAM-016-45392,49.0%,Silver/Grey,837.6,SHA256:A4DF922B61E9FD1C
1135,CAM-016,Visat T Junction P2 RLVD,23.0984,72.5841,2026-09-02 21:58:42.239080,Truck,Unknown,Vehicle,UNREADABLE-CAM-016-42035,45.4%,Silver/Grey,863.4,SHA256:51F5AA6489AED2C1
1150,CAM-016,Visat T Junction P2 RLVD,23.0984,72.5841,2026-09-02 21:59:38.529902,Truck,Unknown,Vehicle,UNREADABLE-CAM-016-63176,49.8%,Silver/Grey,774.2,SHA256:263BAD9DDE23D729
1160,CAM-016,Visat T Junction P2 RLVD,23.0984,72.5841,2026-09-02 22:00:37.458527,Motorcycle,Unknown,Vehicle,UNREADABLE-CAM-016-38930,44.5%,Blue,218.8,SHA256:33AB5D52A7392917
1179,CAM-016,Visat T Junction P2 RLVD,23.0984,72.5841,2026-09-02 22:01:41.849604,Motorcycle,Unknown,Vehicle,UNREADABLE-CAM-016-69263,44.2%,Blue,196.4,SHA256:AE02AF08EA00FF33
1200,CAM-016,Visat T Junction P2 RLVD,23.0984,72.5841,2026-09-02 22:02:42.720141,Car,Unknown,Vehicle,UNREADABLE-CAM-016-16691,49.8%,Blue,386.2,SHA256:A9A8638EF1B6B833
1201,CAM-016,Visat T Junction P2 RLVD,23.0984,72.5841,2026-09-02 22:02:42.724270,Motorcycle,Unknown,Vehicle,UNREADABLE-CAM-016-56411,39.7%,Blue,146.7,SHA256:58F38C6B90783469
1221,CAM-016,Visat T Junction P2 RLVD,23.0984,72.5841,2026-09-02 22:03:40.842048,Truck,Unknown,Vehicle,UNREADABLE-CAM-016-12000,48.2%,Blue,406.3,SHA256:46758700647C6933
1222,CAM-016,Visat T Junction P2 RLVD,23.0984,72.5841,2026-09-02 22:03:40.845078,Motorcycle,Unknown,Vehicle,UNREADABLE-CAM-016-33415,36.8%,Blue,329.8,SHA256:3B8D074601AF7148
1223,CAM-016,Visat T Junction P2 RLVD,23.0984,72.5841,2026-09-02 22:03:40.850029,Car,Unknown,Vehicle,UNREADABLE-CAM-016-15659,46.8%,Blue,430.2,SHA256:E8F87769A331A773
1246,CAM-016,Visat T Junction P2 RLVD,23.0984,72.5841,2026-09-02 22:04:39.562230,Motorcycle,Unknown,Vehicle,UNREADABLE-CAM-016-45199,43.5%,Blue,212.7,SHA256:FC6A4462FBDC125A
1247,CAM-016,Visat T Junction P2 RLVD,23.0984,72.5841,2026-09-02 22:04:39.568607,Car,Unknown,Vehicle,UNREADABLE-CAM-016-91465,48.7%,Blue,509.4,SHA256:AEE625F30EC942F1
1273,CAM-016,Visat T Junction P2 RLVD,23.0984,72.5841,2026-09-02 22:05:38.599704,Motorcycle,Unknown,Vehicle,UNREADABLE-CAM-016-16197,48.5%,Blue,231.8,SHA256:A6720549ED7337D1
1274,CAM-016,Visat T Junction P2 RLVD,23.0984,72.5841,2026-09-02 22:05:38.605621,Truck,Unknown,Vehicle,UNREADABLE-CAM-016-77116,47.5%,Blue,571.2,SHA256:2141FA32D0681C51
1275,CAM-016,Visat T Junction P2 RLVD,23.0984,72.5841,2026-09-02 22:05:38.607234,Car,Unknown,Vehicle,UNREADABLE-CAM-016-22208,45.6%,Blue,657.5,SHA256:611741D13AD6B09F
1294,CAM-016,Visat T Junction P2 RLVD,23.0984,72.5841,2026-09-02 22:06:38.290816,Car,Unknown,Vehicle,UNREADABLE-CAM-016-31086,47.2%,Blue,497.9,SHA256:D425D334C0D80D73
1295,CAM-016,Visat T Junction P2 RLVD,23.0984,72.5841,2026-09-02 22:06:38.295013,Motorcycle,Unknown,Vehicle,UNREADABLE-CAM-016-39404,29.8%,Blue,139.2,SHA256:C0875EDD0E907744
1314,CAM-016,Visat T Junction P2 RLVD,23.0984,72.5841,2026-09-02 22:07:47.835871,Motorcycle,Unknown,Vehicle,UNREADABLE-CAM-016-90338,36.9%,Blue,90.8,SHA256:08513E13D8363951
1319,CAM-016,Visat T Junction P2 RLVD,23.0984,72.5841,2026-09-02 22:08:48.475814,Motorcycle,Unknown,Vehicle,UNREADABLE-CAM-016-76904,37.6%,Blue,88.0,SHA256:FEC4753FE0093D7D
1329,CAM-016,Visat T Junction P2 RLVD,23.0984,72.5841,2026-09-02 22:09:51.965071,Motorcycle,Unknown,Vehicle,UNREADABLE-CAM-016-64491,37.8%,Blue,85.3,SHA256:73B628D23BDC2FCD
1335,CAM-016,Visat T Junction P2 RLVD,23.0984,72.5841,2026-09-02 22:10:51.603399,Motorcycle,Unknown,Vehicle,UNREADABLE-CAM-016-56110,37.6%,Blue,73.7,SHA256:6214BF22551A80B8
1350,CAM-016,Visat T Junction P2 RLVD,23.0984,72.5841,2026-09-02 22:12:04.104647,Motorcycle,Unknown,Vehicle,UNREADABLE-CAM-016-48682,39.4%,Blue,73.8,SHA256:8B45E3772A863406
1373,CAM-016,Visat T Junction P2 RLVD,23.0984,72.5841,2026-09-02 22:13:17.312838,Motorcycle,Unknown,Vehicle,UNREADABLE-CAM-016-80047,37.4%,Blue,72.0,SHA256:2C102926530DEF22
1395,CAM-016,Visat T Junction P2 RLVD,23.0984,72.5841,2026-09-02 22:14:25.263997,Motorcycle,Unknown,Vehicle,UNREADABLE-CAM-016-62523,36.4%,Blue,67.1,SHA256:91BA67ABD2655CE7
1421,CAM-016,Visat T Junction P2 RLVD,23.0984,72.5841,2026-09-02 22:15:33.352898,Motorcycle,Unknown,Vehicle,UNREADABLE-CAM-016-63748,40.2%,Blue,67.7,SHA256:7152CD5C218995B1
1447,CAM-016,Visat T Junction P2 RLVD,23.0984,72.5841,2026-09-02 22:16:44.384407,Motorcycle,Unknown,Vehicle,UNREADABLE-CAM-016-24587,38.5%,Blue,67.3,SHA256:41C74C8A4C65D946
1473,CAM-016,Visat T Junction P2 RLVD,23.0984,72.5841,2026-09-02 22:17:54.984706,Motorcycle,Unknown,Vehicle,UNREADABLE-CAM-016-56407,27.4%,Blue,109.1,SHA256:5B0ADBC8E1605E26
1498,CAM-016,Visat T Junction P2 RLVD,23.0984,72.5841,2026-09-02 22:18:59.919349,Motorcycle,Unknown,Vehicle,UNREADABLE-CAM-016-17583,35.5%,Blue,127.3,SHA256:7142B3EF6E69C5C0
1519,CAM-016,Visat T Junction P2 RLVD,23.0984,72.5841,2026-09-02 22:19:59.227383,Motorcycle,Unknown,Vehicle,UNREADABLE-CAM-016-26569,35.7%,Blue,163.7,SHA256:F189C1831A68317E
1529,CAM-016,Visat T Junction P2 RLVD,23.0984,72.5841,2026-09-02 22:20:56.956601,Motorcycle,Unknown,Vehicle,UNREADABLE-CAM-016-14852,34.3%,Blue,146.8,SHA256:8D24C3C92554ADAF
1538,CAM-016,Visat T Junction P2 RLVD,23.0984,72.5841,2026-09-02 22:21:54.254737,Motorcycle,Unknown,Vehicle,UNREADABLE-CAM-016-79699,42.6%,Blue,162.8,SHA256:3FD14FD18D16AB0F
1564,CAM-016,Visat T Junction P2 RLVD,23.0984,72.5841,2026-09-02 22:25:40.837284,Motorcycle,Unknown,Vehicle,UNREADABLE-CAM-016-42248,47.2%,Blue,187.2,SHA256:64DA5EA8FB778AE4
1574,CAM-016,Visat T Junction P2 RLVD,23.0984,72.5841,2026-09-02 22:26:39.089282,Motorcycle,Unknown,Vehicle,UNREADABLE-CAM-016-95151,44.4%,Blue,155.4,SHA256:2358BBE16FB284D8
1584,CAM-016,Visat T Junction P2 RLVD,23.0984,72.5841,2026-09-02 22:27:37.890501,Motorcycle,Unknown,Vehicle,UNREADABLE-CAM-016-99743,45.9%,Blue,156.7,SHA256:22148349BB5E736D
1594,CAM-016,Visat T Junction P2 RLVD,23.0984,72.5841,2026-09-02 22:28:36.583900,Motorcycle,Unknown,Vehicle,UNREADABLE-CAM-016-83647,39.3%,Blue,161.9,SHA256:46E3EC73F52BB11B
1604,CAM-016,Visat T Junction P2 RLVD,23.0984,72.5841,2026-09-02 22:29:35.068318,Motorcycle,Unknown,Vehicle,UNREADABLE-CAM-016-90400,40.9%,Blue,167.2,SHA256:F5D9D473DCCD8DC8
1618,CAM-016,Visat T Junction P2 RLVD,23.0984,72.5841,2026-09-02 22:30:34.186768,Motorcycle,Unknown,Vehicle,UNREADABLE-CAM-016-83770,39.5%,Blue,156.3,SHA256:D2EAFFEB1229899B
1630,CAM-016,Visat T Junction P2 RLVD,23.0984,72.5841,2026-09-02 22:31:33.242246,Motorcycle,Unknown,Vehicle,UNREADABLE-CAM-016-37396,39.4%,Blue,189.1,SHA256:E7765E060E06E7C3
1631,CAM-016,Visat T Junction P2 RLVD,23.0984,72.5841,2026-09-02 22:31:33.247920,Car,Unknown,Vehicle,UNREADABLE-CAM-016-17622,45.0%,White,1576.7,SHA256:0C396F478E32B4D2
1647,CAM-016,Visat T Junction P2 RLVD,23.0984,72.5841,2026-09-02 22:32:32.133154,Motorcycle,Unknown,Vehicle,UNREADABLE-CAM-016-22700,37.1%,Blue,144.3,SHA256:F947C074A7787419
1648,CAM-016,Visat T Junction P2 RLVD,23.0984,72.5841,2026-09-02 22:32:32.139298,Car,Unknown,Vehicle,UNREADABLE-CAM-016-64460,48.1%,White,1681.5,SHA256:2565077DAACC2F08
1663,CAM-016,Visat T Junction P2 RLVD,23.0984,72.5841,2026-09-02 22:33:30.736198,Car,Unknown,Vehicle,UNREADABLE-CAM-016-68096,48.4%,White,1435.7,SHA256:74BA21CA50428FB5
1664,CAM-016,Visat T Junction P2 RLVD,23.0984,72.5841,2026-09-02 22:33:30.740388,Motorcycle,Unknown,Vehicle,UNREADABLE-CAM-016-18595,38.1%,Blue,148.4,SHA256:74DC465A8344997A
1679,CAM-016,Visat T Junction P2 RLVD,23.0984,72.5841,2026-09-02 22:34:29.138889,Motorcycle,Unknown,Vehicle,UNREADABLE-CAM-016-89960,37.6%,Blue,175.6,SHA256:29464D11428CA793
1695,CAM-016,Visat T Junction P2 RLVD,23.0984,72.5841,2026-09-02 22:35:27.415097,Motorcycle,Unknown,Vehicle,UNREADABLE-CAM-016-94859,39.8%,Blue,158.3,SHA256:8D7B40A36C5AC8EB
1705,CAM-016,Visat T Junction P2 RLVD,23.0984,72.5841,2026-09-02 22:37:17.386507,Car,Unknown,Vehicle,UNREADABLE-CAM-016-86830,46.8%,Silver/Grey,273.3,SHA256:E9F969A96C16B7A6
1723,CAM-016,Visat T Junction P2 RLVD,23.0984,72.5841,2026-09-02 22:38:14.971870,Car,Unknown,Vehicle,UNREADABLE-CAM-016-36409,48.4%,Silver/Grey,276.5,SHA256:A67C8CA8E0E30818
1724,CAM-016,Visat T Junction P2 RLVD,23.0984,72.5841,2026-09-02 22:38:14.974399,Car,Unknown,Vehicle,UNREADABLE-CAM-016-30177,49.7%,Blue,935.8,SHA256:9712D19E9CDC7A02
1742,CAM-016,Visat T Junction P2 RLVD,23.0984,72.5841,2026-09-02 22:39:12.233581,Car,Unknown,Vehicle,UNREADABLE-CAM-016-58032,46.8%,Silver/Grey,244.5,SHA256:835C2901B6D082DC
1762,CAM-016,Visat T Junction P2 RLVD,23.0984,72.5841,2026-09-02 22:40:09.152030,Car,Unknown,Vehicle,UNREADABLE-CAM-016-56381,46.8%,Silver/Grey,235.6,SHA256:0F5293C56B990147
1782,CAM-016,Visat T Junction P2 RLVD,23.0984,72.5841,2026-09-02 22:41:06.498584,Car,Unknown,Vehicle,UNREADABLE-CAM-016-73263,43.8%,Silver/Grey,197.2,SHA256:339A35FAB1572140
1799,CAM-016,Visat T Junction P2 RLVD,23.0984,72.5841,2026-09-02 22:42:03.883492,Car,Unknown,Vehicle,UNREADABLE-CAM-016-16094,48.0%,Silver/Grey,229.8,SHA256:A817B57F824FFAD2
1800,CAM-016,Visat T Junction P2 RLVD,23.0984,72.5841,2026-09-02 22:42:03.885867,Car,Unknown,Vehicle,UNREADABLE-CAM-016-63982,44.6%,Black,202.1,SHA256:059D18C3D7A99788
1835,CAM-016,Visat T Junction P2 RLVD,23.0984,72.5841,2026-09-02 22:43:03.326552,Car,Unknown,Vehicle,UNREADABLE-CAM-016-32959,48.0%,Silver/Grey,230.4,SHA256:8BFFD83733855662
1870,CAM-016,Visat T Junction P2 RLVD,23.0984,72.5841,2026-09-02 22:44:04.523078,Car,Unknown,Vehicle,UNREADABLE-CAM-016-25570,48.5%,Silver/Grey,235.2,SHA256:54A7CEAF1442F385
1871,CAM-016,Visat T Junction P2 RLVD,23.0984,72.5841,2026-09-02 22:44:04.526667,Car,Unknown,Vehicle,UNREADABLE-CAM-016-41754,37.5%,Blue,4379.9,SHA256:CA4855A6E5DE323C
1928,CAM-016,Visat T Junction P2 RLVD,23.0984,72.5841,2026-09-02 22:45:06.010703,Car,Unknown,Vehicle,UNREADABLE-CAM-016-91005,48.1%,Silver/Grey,258.1,SHA256:E74BDED2F9E2EED4
